Load Config : /home/mataeoh/Work/GuineaPig/Configure/Config.ini
Saved Config : /home/mataeoh/Work/GuineaPig/Configure/Config.ini

Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..mpat/_inspect.py:142 formatargspec  31     0.000384  0.000716  0.000023
..internalformat_query.py:1 <module>  2      0.000078  0.000713  0.000356
..__init__.py:532 Formatter.usesTime  112    0.000269  0.000712  0.000006
..ap>:310 _installed_safely.__init__  481    0.000707  0.000707  0.000001
..python3.5/posixpath.py:355 abspath  13     0.000069  0.000706  0.000054
..nGL/raw/GL/VERSION/GL_1_5.py:12 _f  19     0.000042  0.000706  0.000037
..eaPig/Utilities/Vector.py:6 Vector  7/2    0.000183  0.000705  0.000101
..latform.py:311 _linux_distribution  1      0.000125  0.000701  0.000701
..RB/ES2_compatibility.py:1 <module>  1      0.000091  0.000700  0.000700
../python3.5/enum.py:295 __setattr__  126    0.000560  0.000698  0.000006
..GL/GL/images.py:427 asIntConverter  192    0.000477  0.000698  0.000004
..exture_pixel_storage.py:1 <module>  2      0.000076  0.000697  0.000348
..ges/numpy/ma/extras.py:10 <module>  1      0.000093  0.000693  0.000693
..s/numpy/fft/fftpack.py:32 <module>  1      0.000021  0.000693  0.000693
..eaPig/Object/Primitive.py:125 Cube  3      0.000049  0.000689  0.000230
..3.5/functools.py:43 update_wrapper  21     0.000378  0.000687  0.000033
..ipfile.py:436 ZipInfo._decodeExtra  183    0.000530  0.000687  0.000004
..nternalformat_query.py:23 <module>  1      0.000039  0.000679  0.000679
..B/enhanced_layouts.py:109 <module>  1      0.000037  0.000672  0.000672
.._init__.py:382 PercentStyle.format  112    0.000672  0.000672  0.000006
..lib/python3.5/fnmatch.py:48 filter  1      0.000036  0.000671  0.000671
..te-packages/pygame/font.py:13 Font  1      0.000014  0.000669  0.000669
..te-packages/cffi/api.py:1 <module>  1      0.000021  0.000668  0.000668
..on3.5/abc.py:194 __subclasscheck__  11/6   0.000255  0.000667  0.000061
...py:1695 EggMetadata._setup_prefix  6      0.000124  0.000663  0.000110
...5/email/quoprimime.py:27 <module>  1      0.000330  0.000662  0.000662
..Manager.py:77 CoreManager.__init__  1      0.000146  0.000652  0.000652
...5/selectors.py:281 SelectSelector  2      0.000007  0.000651  0.000325
..mpiler/qtproxies.py:329 QLCDNumber  376    0.000650  0.000650  0.000002
..enGL/GL/images.py:593 _setDataSize  6      0.000045  0.000649  0.000108
..nit__.py:806 StreamHandler.release  224    0.000482  0.000648  0.000003
..nderer.py:137 Renderer.resizeScene  1      0.000055  0.000644  0.000644
..b._bootstrap>:225 _verbose_message  479    0.000644  0.000644  0.000001
..s.py:318 IncrementalDecoder.decode  81     0.000364  0.000642  0.000008
..figparser.py:678 ConfigParser.read  1      0.000028  0.000640  0.000640
..ARB/arrays_of_arrays.py:1 <module>  2      0.000089  0.000639  0.000320
..urces/__init__.py:417 get_provider  2      0.000024  0.000633  0.000316
..ing_language_420pack.py:1 <module>  2      0.000064  0.000628  0.000314
..3.5/fnmatch.py:38 _compile_pattern  1      0.000012  0.000616  0.000616
...5/zipfile.py:1194 ZipFile.getinfo  183    0.000449  0.000616  0.000003
<string>:5 Match                      175    0.000426  0.000609  0.000003
..RB/shader_precision.py:18 <module>  1      0.000040  0.000606  0.000606
..it_uniform_location.py:17 <module>  1      0.000037  0.000604  0.000604
..08 ExtensionFileLoader.exec_module  61     0.000298  0.000602  0.000010
..nal>:783 SourceFileLoader.__init__  417    0.000596  0.000596  0.000001
..bootstrap_external>:92 _path_isdir  48     0.000129  0.000594  0.000012
..Pig/Utilities/Vector.py:1 <module>  7      0.000026  0.000593  0.000085
..L/GL/ARB/copy_image.py:30 <module>  1      0.000038  0.000590  0.000590
..on3.5/email/message.py:106 Message  1      0.000028  0.000590  0.000590
../python3.5/datetime.py:338 __new__  9      0.000359  0.000588  0.000065
<frozen importlib._bootstrap>:190 cb  585    0.000587  0.000587  0.000001
..torage_buffer_object.py:1 <module>  1      0.000067  0.000587  0.000587
..ging/__init__.py:1257 Logger.debug  120    0.000208  0.000587  0.000005
..L/ARB/compute_shader.py:1 <module>  1      0.000074  0.000586  0.000586
.._.py:1691 DefaultProvider.__init__  2      0.000014  0.000583  0.000291
..ages/OpenGL/latebind.py:1 <module>  9      0.000045  0.000581  0.000065
..fer_access_behavior.py:21 <module>  1      0.000040  0.000570  0.000570
..b/python3.5/calendar.py:6 <module>  1      0.000082  0.000569  0.000569
...py:26 CameraManager.getMainCamera  376    0.000568  0.000568  0.000002
..y/compat/_inspect.py:98 getargspec  40     0.000155  0.000563  0.000014
..0 Module_six_moves_urllib_response  6      0.000036  0.000559  0.000093
..B/shader_image_size.py:13 <module>  1      0.000039  0.000555  0.000555
..igparser.py:988 ConfigParser._read  1      0.000266  0.000553  0.000553
..t4/uic/Compiler/misc.py:58 Literal  2      0.000013  0.000546  0.000273
.._init__.py:2066 find_distributions  26     0.000144  0.000545  0.000021
.._structures.py:43 Infinity.__neg__  576    0.000538  0.000538  0.000001
..B/arrays_of_arrays.py:101 <module>  1      0.000036  0.000537  0.000537
..penGL/GLU/tess.py:12 GLUtesselator  1      0.000054  0.000535  0.000535
..umerictypes.py:957 _register_types  1      0.000009  0.000534  0.000534
..python3.5/enum.py:8 _is_descriptor  76     0.000237  0.000525  0.000007
..B/stencil_texturing.py:17 <module>  1      0.000032  0.000521  0.000521
..n3.5/datetime.py:45 _days_in_month  6      0.000283  0.000515  0.000086
..thon3.5/tempfile.py:160 <listcomp>  6      0.000062  0.000506  0.000084
../_vendor/six.py:139 MovedAttribute  6      0.000017  0.000498  0.000083
..80 Module_six_moves_urllib_request  4      0.000010  0.000489  0.000122
..Pig/Utilities/Logger.py:2 <module>  2      0.000130  0.000486  0.000243
..r.py:104 glShaderSource.pyArgIndex  38     0.000244  0.000481  0.000013
..hon3.5/sre_compile.py:513 isstring  152    0.000350  0.000478  0.000003
..gging/__init__.py:220 _releaseLock  174    0.000347  0.000476  0.000003
..py:83 ForkContext.BoundedSemaphore  2      0.000021  0.000469  0.000234
..nGL/raw/GL/VERSION/GL_4_2.py:12 _f  12     0.000030  0.000469  0.000039
..tors.py:189 PollSelector.__enter__  375    0.000466  0.000466  0.000001
..python3.5/posixpath.py:50 normcase  126    0.000316  0.000466  0.000004
